,予 想,好 気 合,総 評,枠 番,車 番,選手名 府県/年齢/期別,級 班,脚 質,ギヤ 倍数,直近4ヶ月の成績,直近4ヶ月の成績.1,直近4ヶ月の成績.2,直近4ヶ月の成績.3,直近4ヶ月の成績.4,直近4ヶ月の成績.5,直近4ヶ月の成績.6,直近4ヶ月の成績.7,直近4ヶ月の成績.8,直近4ヶ月の成績.9,直近4ヶ月の成績.10,直近4ヶ月の成績.11,直近4ヶ月の成績.12,直近4ヶ月の成績.13
0,予 想,好 気 合,総 評,枠 番,車 番,選手名 府県/年齢/期別,級 班,脚 質,ギヤ 倍数,競走得点,S,B,逃,捲,差,マ,1 着,2 着,3 着,着 外,勝 率,2連 対率,3連 対率
1,◎,,3,1,1,船瀬 惇平  広　島/27/111,A1,逃,3.92,88.28,1,14,9,2,1,0,5,7,2,7,23.8,57.1,66.6
2,×,,3,2,2,中里 福太郎  長　崎/25/113,A2,逃,3.93,85.95,3,11,6,3,0,0,3,6,4,8,14.2,42.8,61.9
3,△,,3,3,3,松尾 玄太  佐　賀/35/93,A1,追,3.92,85.57,3,0,0,0,4,2,4,2,2,12,20.0,30.0,40.0
4,○,,3,4,4,山本 貴章  岡　山/46/76,A2,追,3.92,85.45,1,0,0,0,0,0,0,0,6,18,0.0,0.0,25.0
5,注,,4,5,5,吉川 裕二  大　分/39/86,A2,追,3.93,81.05,0,0,0,0,2,1,0,3,3,12,0.0,16.6,33.3
6,▲,,4,6,6,松丸 裕紀  福　岡/40/86,A2,追,3.92,80.47,2,2,0,1,0,2,0,3,3,15,0.0,14.2,28.5
7,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３,【誘導員】重富 公輔 Ａ３
