1 着,2 着,2連 対率,3 着,3連 対率,B,S,Unnamed: 0,ギヤ 倍数,マ,予 想,勝 率,好 気 合,差,捲,枠 番,着 外,競走得点,級 班,総 評,脚 質,車 番,逃,選手名 府県/年齢/期別
4,2,31.5,2,42.1,6,0,1,3.86,0,▲,21.0,,3,0,2,11,67.84,A3,4,両,2,3,平川 公一  徳　島/43/86
0,1,11.1,1,22.2,0,0,2,3.92,0,注,0.0,,1,0,3,7,69.55,A3,4,追,3,0,野口 誠一郎  長　崎/53/61
4,6,52.6,1,57.8,0,3,3,3.85,4,×,21.0,,5,1,4,8,71.42,A3,3,追,4,0,藤原 義浩  徳　島/48/76
7,6,54.1,4,70.8,16,2,4,3.92,0,◎,29.1,,0,2,5,7,73.58,A3,3,逃,5,11,竹田 慎一  富　山/42/94
0,2,13.3,2,26.6,0,1,5,3.85,2,,0.0,,0,0,6,11,66.53,A3,5,追,6,0,岡 俊行  高　知/44/80 （欠車）
2,2,19.0,5,42.8,2,1,6,3.92,1,△,9.5,,3,0,6,12,69.19,A3,4,両,7,0,富永 昌久  佐　賀/40/88
1,4,26.3,5,52.6,0,3,0,3.93,3,△,5.2,,2,0,1,9,72.0,A3,3,追,1,0,松木 竜也  愛　媛/51/65
2,4,40.0,3,60.0,1,3,1,3.93,3,○,13.3,,2,0,2,6,72.73,A3,3,追,2,1,河元 茂  大　阪/46/78
0,4,19.0,2,28.5,2,0,2,3.92,2,▲,0.0,,2,0,3,15,66.47,A3,5,追,3,0,高田 誠  福　岡/50/65
10,4,82.3,0,82.3,13,0,3,3.92,0,◎,58.8,,0,4,4,3,77.93,A3,1,逃,4,10,小松原 正登  福　井/22/117
0,2,11.1,2,22.2,1,0,4,3.92,1,注,0.0,,1,0,5,14,66.77,A3,5,両,5,0,西村 尚文  鹿児島/38/91
0,1,5.5,2,16.6,0,2,5,3.86,1,,0.0,,0,0,6,15,65.66,A3,5,追,6,0,中畑 正彦  和歌山/57/59
7,2,45.0,1,50.0,9,0,6,3.92,0,×,35.0,,0,1,6,10,71.59,A3,3,逃,7,8,岡崎 克政  岡　山/35/92
