1 着,2 着,2連 対率,3 着,3連 対率,B,S,Unnamed: 0,ギヤ 倍数,マ,予 想,勝 率,好 気 合,差,捲,枠 番,着 外,競走得点,級 班,総 評,脚 質,車 番,逃,選手名 府県/年齢/期別
0,1,4.5,3,18.1,0,0,5,3.92,0,,0.0,,1,0,6,18,94.5,S2,6,追,6,0,山田 和巧  神奈川/42/87
7,6,44.8,5,62.0,0,3,6,3.92,6,◎,24.1,,7,0,6,11,103.42,S2,4,追,7,0,松崎 貴久  富　山/46/82
3,6,37.5,3,50.0,7,4,0,3.93,2,◎,12.5,,2,2,1,12,104.91,S1,3,逃,1,3,高久保 雄介  京　都/34/100
1,2,13.6,4,31.8,0,5,1,3.92,1,注,4.5,,2,0,2,15,98.52,S1,5,追,2,0,佐藤 康紀  青　森/46/73
1,4,35.7,0,35.7,6,2,2,3.92,0,×,7.1,,2,1,3,9,98.16,S2,5,逃,3,2,植原 琢也  埼　玉/26/113
1,3,15.3,6,38.4,0,1,3,3.92,0,,3.8,,4,0,4,16,99.26,S2,4,両,4,0,山田 裕哉  岐　阜/34/98
2,3,21.7,4,39.1,0,2,4,3.93,2,○,8.6,,3,0,5,14,99.04,S2,4,追,5,0,伊原 弘幸  福　井/36/90
0,2,7.6,2,15.3,3,1,5,3.92,0,▲,0.0,,1,0,6,22,93.88,S2,6,逃,6,1,佐藤 佑一  岩　手/37/92
0,2,13.3,2,26.6,0,0,6,3.92,1,△,0.0,,1,0,6,11,98.0,S2,5,追,7,0,阿久津 修  栃　木/40/88
2,4,24.0,5,44.0,0,3,0,3.92,0,,8.0,,5,1,1,14,108.0,S1,3,追,1,0,笠松 信幸  愛　知/41/84
2,4,31.5,5,57.8,0,1,1,3.92,1,注,10.5,,4,1,2,8,108.47,S1,3,両,2,0,杉森 輝大  茨　城/38/103
7,2,45.0,3,60.0,0,1,2,3.92,2,△,35.0,,7,0,3,8,108.94,S1,3,両,3,0,山賀 雅仁  千　葉/39/87
1,4,35.7,5,71.4,1,2,3,3.92,1,○,7.1,,3,1,4,4,108.15,S1,3,追,4,0,南 修二  大　阪/39/88
6,4,41.6,2,50.0,2,0,4,3.92,0,×,25.0,,5,4,5,12,109.95,S1,3,両,5,1,宿口 陽一  埼　玉/36/91
3,3,23.0,6,46.1,0,9,5,3.92,2,▲,11.5,,4,0,6,14,107.96,S1,3,両,6,0,佐藤 友和  岩　手/38/88
4,5,52.9,2,64.7,7,2,6,3.92,0,◎,23.5,,1,4,6,6,110.94,S1,2,逃,7,4,野原 雅也  福　井/27/103
7,3,83.3,2,100.0,2,0,0,3.79,0,◎,58.3,,4,5,1,0,56.83,L1,1,両,1,1,尾崎 睦  神奈川/35/108
7,4,52.3,4,71.4,8,4,1,3.77,1,○,33.3,,0,8,2,6,53.52,L1,2,両,2,2,林 真奈美  福　岡/35/110
3,2,21.7,6,47.8,5,0,2,3.77,1,×,13.0,,1,3,3,12,50.9,L1,3,両,3,0,野本 怜菜  埼　玉/22/114
2,1,15.0,4,35.0,0,0,3,3.77,1,△,10.0,,1,1,4,13,49.3,L1,3,両,4,0,國村 美留莉  山　口/21/118
1,1,9.5,5,33.3,0,1,4,3.69,1,注,4.7,,0,1,5,14,49.23,L1,3,両,5,0,三宅 愛梨  岡　山/29/104
0,0,0.0,1,8.3,1,0,5,3.71,0,▲,0.0,,0,0,6,11,46.0,L1,4,両,6,0,田仲 敦子  熊　本/36/104
0,0,0.0,2,13.3,0,0,6,3.79,0,,0.0,,0,0,6,13,45.53,L1,5,両,7,0,神澤 瑛菜  群　馬/21/116
10,8,78.2,3,91.3,2,0,0,3.77,3,◎,43.4,,3,12,1,2,56.0,L1,1,両,1,0,荒牧 聖未  栃　木/30/102
16,3,86.3,0,86.3,18,0,1,3.77,1,○,72.7,,0,2,2,3,55.77,L1,1,両,2,16,尾方 真生  福　岡/21/118
0,3,14.2,5,38.0,0,0,2,3.77,3,×,0.0,,0,0,3,13,50.71,L1,3,両,3,0,高橋 朋恵  東　京/26/108
0,1,6.6,3,26.6,0,2,3,3.71,1,△,0.0,,0,0,4,11,50.13,L1,3,両,4,0,山口 伊吹  長　崎/21/116
1,0,4.7,6,33.3,0,0,4,3.79,0,注,4.7,,1,0,5,14,49.23,L1,3,両,5,0,大和 久保美  青　森/29/102
1,0,6.6,2,20.0,0,0,5,3.69,0,▲,6.6,,1,0,6,12,48.26,L1,4,両,6,0,三森 彩桜  福　島/21/116
0,0,0.0,0,0.0,0,0,6,3.79,0,,0.0,,0,0,6,16,43.43,L1,5,両,7,0,岩原 紗也香  徳　島/28/118
3,4,35.0,2,45.0,1,2,0,3.92,0,×,15.0,,5,2,1,11,90.55,A1,2,両,1,0,長井 妙樹  東　京/32/96
6,2,44.4,1,50.0,9,6,1,3.93,0,◎,33.3,,1,6,2,9,87.66,A1,3,逃,2,1,今村 麟太郎  高　知/25/111
3,3,25.0,5,45.8,0,2,2,3.92,0,○,12.5,,4,2,3,13,87.37,A1,3,両,3,0,岩本 純  岡　山/39/94
3,2,23.8,3,38.0,10,1,3,3.92,1,△,14.2,,0,0,4,13,84.85,A2,4,両,4,4,片折 勇輝  福　岡/36/95
1,0,4.7,7,38.0,0,0,4,3.92,0,,4.7,,1,0,5,13,82.57,A2,4,追,5,0,沖本 尚織  広　島/41/87
0,0,0.0,3,18.7,0,7,5,3.92,0,注,0.0,,0,0,6,13,80.68,A2,4,追,6,0,中園 朋亨  福　岡/34/93
0,0,0.0,1,11.1,5,4,6,3.85,0,▲,0.0,,0,0,6,8,77.66,A2,5,逃,7,0,山本 修平  東　京/25/115
4,7,45.8,3,58.3,0,3,0,3.92,6,◎,16.6,,5,0,1,10,87.95,A1,3,追,1,0,荒木 伸哉  静　岡/41/87
3,3,37.5,0,37.5,4,9,1,3.92,0,×,18.7,,1,4,2,10,87.81,A1,3,両,2,1,利根 正明  大　分/31/97
5,1,40.0,1,46.6,2,6,2,3.92,0,○,33.3,,0,4,3,8,86.13,A1,3,両,3,2,吉川 誠  神奈川/39/86
3,2,26.3,2,36.8,1,0,3,3.85,1,△,15.7,,1,3,4,12,83.63,A1,4,両,4,0,山崎 翼  大　分/32/95
0,2,9.5,3,23.8,0,0,4,3.92,0,注,0.0,,2,0,5,16,82.09,A1,4,追,5,0,住村 実  徳　島/44/82
1,1,9.5,2,19.0,0,1,5,3.86,1,▲,4.7,,1,0,6,17,80.47,A2,4,追,6,0,高橋 京治  埼　玉/57/51
0,0,0.0,2,13.3,0,0,6,3.92,0,,0.0,,0,0,6,13,78.33,A2,5,追,7,0,佐古 雅俊  広　島/60/45
9,3,100.0,0,100.0,4,5,0,3.85,0,◎,75.0,,0,9,1,0,79.16,A3,1,逃,1,3,山田 雄大  埼　玉/20/117
0,1,4.7,7,38.0,0,0,1,3.92,0,△,0.0,,1,0,2,13,69.34,A3,4,追,2,0,古屋 孝一  愛　知/53/62
0,3,14.2,4,33.3,3,2,2,3.83,0,注,0.0,,0,1,3,14,66.75,A3,5,両,3,2,吉田 輪太郎  神奈川/42/88
4,2,28.5,4,47.6,5,0,3,3.93,0,×,19.0,,2,3,4,11,72.42,A3,3,逃,4,1,浜田 翔平  大　阪/31/111
0,3,20.0,4,46.6,0,0,4,3.92,2,○,0.0,,1,0,5,8,72.13,A3,3,追,5,0,清水 吉康  東　京/42/85
1,0,6.2,2,18.7,0,0,5,3.92,0,,6.2,,1,0,6,13,65.31,A3,5,追,6,0,原野 隆  東　京/43/83
1,0,6.6,1,13.3,0,0,6,3.92,0,▲,6.6,,1,0,6,13,67.2,A3,5,追,7,0,小林 裕司  千　葉/49/71
7,4,52.3,3,66.6,0,3,0,3.92,2,◎,33.3,,7,1,1,7,89.76,A1,2,両,1,1,内村 泰三  山　口/47/72
4,4,42.1,5,68.4,13,0,1,3.93,0,○,21.0,,0,1,2,6,87.78,A1,3,逃,2,7,山崎 駿哉  岡　山/23/113
4,5,42.8,1,47.6,13,8,2,3.86,0,×,19.0,,2,2,3,11,84.9,A2,4,逃,3,5,池部 壮太  大　分/28/109
2,3,23.8,4,42.8,0,0,3,3.92,1,,9.5,,2,2,4,12,84.23,A1,4,追,4,0,武智 尚之  愛　媛/49/70
5,3,34.7,1,39.1,3,3,4,3.92,0,△,21.7,,2,5,5,14,83.3,A2,4,両,5,1,伊藤 翼  神奈川/35/94
1,1,10.0,5,35.0,0,0,5,3.93,0,▲,5.0,,2,0,6,13,81.5,A2,4,追,6,0,鶴岡 與之  千　葉/43/81
0,1,5.5,2,16.6,0,0,6,3.93,0,注,0.0,,1,0,6,15,80.11,A2,4,追,7,0,米丸 俊成  熊　本/50/72
7,3,47.6,3,61.9,2,1,0,3.92,0,◎,33.3,,4,5,1,8,89.57,A1,2,両,1,1,高田 真幸  福　岡/43/83
5,0,27.7,3,44.4,0,0,1,3.85,0,×,27.7,,5,0,2,10,86.61,A1,3,追,2,0,大橋 直人  埼　玉/44/77
4,1,22.7,6,50.0,8,0,2,3.92,0,△,18.1,,0,1,3,11,85.9,A2,3,両,3,4,勝俣 亮  神奈川/43/82
2,0,22.2,1,33.3,1,1,3,3.92,0,注,22.2,,2,0,4,6,83.11,A2,4,逃,4,0,田口 守  山　口/32/94
5,1,28.5,1,33.3,0,0,4,3.92,1,○,23.8,,5,0,5,14,82.61,A2,4,追,5,0,足達 重満  長　崎/45/80
1,2,15.7,4,36.8,0,0,5,3.85,2,▲,5.2,,1,0,6,12,81.36,A2,4,追,6,0,上原 直樹  岡　山/47/75
0,2,9.0,2,18.1,0,1,6,3.92,1,,0.0,,1,0,6,18,79.95,A2,5,追,7,0,大田 啓介  岡　山/46/73
7,5,66.6,1,72.2,10,3,0,3.92,0,◎,38.8,,0,5,1,5,91.83,A2,2,逃,1,7,板垣 昴  福　島/28/115
3,4,29.1,5,50.0,0,4,1,3.92,2,○,12.5,,5,0,2,12,89.25,A1,2,追,2,0,栗林 巧  青　森/40/89
5,5,41.6,3,54.1,12,2,2,3.85,0,×,20.8,,0,3,3,11,86.66,A2,3,逃,3,7,横内 裕人  愛　媛/29/100
3,7,47.6,1,52.3,0,0,3,3.93,3,△,14.2,,7,0,4,10,86.52,A1,3,追,4,0,三宅 旬  岡　山/43/80
1,0,4.7,1,9.5,2,1,4,3.92,0,注,4.7,,1,0,5,19,81.57,A2,4,両,5,0,茅野 寛史  鹿児島/42/99
0,1,5.5,4,27.7,0,0,5,3.93,0,▲,0.0,,1,0,6,13,80.94,A2,4,追,6,0,渡邊 一洋  静　岡/47/72
1,0,6.2,3,25.0,3,1,6,3.92,0,,6.2,,0,1,6,12,79.5,A2,5,両,7,0,原 清孝  沖　縄/44/98
12,3,71.4,3,85.7,7,5,0,3.92,0,◎,57.1,,0,10,1,3,93.9,A2,2,逃,1,5,伊藤 旭  熊　本/20/117
2,5,31.8,4,50.0,0,1,1,3.92,3,○,9.0,,4,0,2,11,89.5,A1,2,追,2,0,飯田 裕次  福　岡/35/97
0,6,28.5,3,42.8,0,3,2,3.92,4,注,0.0,,2,0,3,12,84.33,A1,4,両,3,0,石坂 永伍  岡　山/34/93
3,1,28.5,1,35.7,0,0,3,3.79,1,×,21.4,,3,0,4,9,83.78,A2,4,両,4,0,武市 和人  高　知/47/74
2,3,23.8,6,52.3,9,1,4,3.93,0,△,9.5,,0,0,5,10,83.6,A2,4,逃,5,5,門馬 琢麿  福　島/36/105
2,0,11.1,4,33.3,0,0,5,3.92 3.86,0,▲,11.1,,2,0,6,12,81.72,A2,4,追,6,0,柳 充  青　森/46/79
0,0,0.0,0,0.0,0,0,6,3.92,0,,0.0,,0,0,6,18,76.77,A2,5,追,7,0,田村 博之  徳　島/51/69
7,2,75.0,1,83.3,5,3,0,3.92,0,◎,58.3,,2,7,1,2,95.75,A1,2,逃,1,0,木村 弘  青　森/29/100
3,3,40.0,2,53.3,1,0,1,3.92,1,×,20.0,,2,3,2,7,92.93,A1,2,両,2,0,上吹越 俊一  鹿児島/44/99
7,5,57.1,1,61.9,0,2,2,3.92,2,注,33.3,,10,0,3,8,92.66,A1,2,両,3,0,越智 展孝  愛　媛/39/88
6,3,42.8,2,52.3,6,1,3,3.92,0,▲,28.5,,1,5,4,10,92.19,A1,2,逃,4,3,川口 雄太  徳　島/24/111
6,1,46.6,2,60.0,6,3,4,3.92,1,△,40.0,,2,3,5,6,91.6,A1,2,逃,5,1,八谷 誠賢  福　岡/45/77
1,5,50.0,0,50.0,0,3,5,3.93,3,,8.3,,3,0,6,6,91.16,A1,2,両,6,0,西田 将士  長　崎/37/105
8,4,50.0,4,66.6,2,7,6,3.92,4,○,33.3,,3,5,6,8,90.95,A1,2,両,7,0,和田 誠寿  広　島/29/103
7,7,66.6,3,80.9,6,1,0,3.77,3,◎,33.3,,2,8,1,4,54.85,L1,2,両,1,1,中川 諒子  熊　本/36/102
1,12,48.1,4,62.9,5,2,1,3.77,9,○,3.7,,2,0,2,10,52.8,L1,2,両,2,2,内村 舞織  福　岡/23/112
2,5,29.1,2,37.5,2,0,2,3.77,4,×,8.3,,1,1,3,15,50.08,L1,3,両,3,1,佐伯 智恵  愛　媛/22/114
1,1,9.5,6,38.0,3,0,3,3.77,0,△,4.7,,1,0,4,13,49.85,L1,3,両,4,1,田中 月菜  佐　賀/20/118
1,3,22.2,1,27.7,0,0,4,3.71,3,注,5.5,,1,0,5,13,47.77,L1,4,両,5,0,猪頭 香緒里  岡　山/44/104
0,0,0.0,1,3.7,0,4,5,3.71,0,▲,0.0,,0,0,6,26,46.11,L1,4,両,6,0,向井 円  大　阪/27/114
0,1,4.1,0,4.1,0,1,6,3.71,1,,0.0,,0,0,6,23,45.25,L1,5,両,7,0,飯塚 朋子  大　阪/41/102
12,2,82.3,1,88.2,9,0,0,3.79,0,◎,70.5,,0,9,1,2,56.31,L1,1,両,1,5,柳原 真緒  福　井/23/114
5,8,54.1,7,83.3,4,0,1,3.77,2,○,20.8,,1,5,2,4,53.86,L1,2,両,2,5,西島 叶子  熊　本/26/118
0,0,0.0,0,0.0,0,0,2,3.69,0,×,0.0,,0,0,3,2,50.0,L1,3,両,3,0,出口 倫子  長　崎/24/116
0,2,9.5,6,38.0,0,1,3,3.71,1,△,0.0,,1,0,4,13,49.57,L1,3,両,4,0,三宅 玲奈  岡　山/25/108
5,3,33.3,1,37.5,8,0,4,3.77,1,注,20.8,,1,2,5,15,49.2,L1,3,両,5,4,下条 未悠  富　山/20/118
0,0,0.0,4,19.0,0,0,5,3.71,0,▲,0.0,,0,0,6,17,47.19,L1,4,両,6,0,猪子 真実  愛　知/40/104
0,0,0.0,0,0.0,1,1,6,3.71,0,,0.0,,0,0,6,21,45.66,L1,5,両,7,0,日野 友葵  愛　媛/25/108
5,3,50.0,1,56.2,11,3,0,3.92,0,◎,31.2,,0,3,1,7,88.25,A1,3,逃,1,5,松本 卓也  徳　島/30/98
1,6,38.8,3,55.5,0,1,1,3.92,2,△,5.5,,4,1,2,8,88.05,A2,3,追,2,0,小原 将通  大　分/33/92
9,3,52.1,1,56.5,8,1,2,3.92,0,×,39.1,,0,6,3,10,87.73,A1,3,両,3,6,飯塚 隼人  佐　賀/32/95
1,2,15.0,3,30.0,0,1,3,3.92,2,○,5.0,,1,0,4,14,85.42,A1,3,追,4,0,増田 鉄男  徳　島/46/74
2,0,11.1,6,44.4,2,2,4,3.92,0,注,11.1,,1,0,5,10,83.22,A2,4,追,5,1,竹内 真一  福　岡/39/89
0,1,7.6,4,38.4,1,0,5,3.92,0,▲,0.0,,1,0,6,8,79.84,A2,5,逃,6,0,山中 崇弘  高　知/25/113
5,7,57.1,2,66.6,14,1,0,3.92,0,◎,23.8,,1,2,1,7,88.28,A1,3,逃,1,9,船瀬 惇平  広　島/27/111
3,6,42.8,4,61.9,11,3,1,3.93,0,×,14.2,,0,3,2,8,85.95,A2,3,逃,2,6,中里 福太郎  長　崎/25/113
4,2,30.0,2,40.0,0,3,2,3.92,2,△,20.0,,4,0,3,12,85.57,A1,3,追,3,0,松尾 玄太  佐　賀/35/93
0,0,0.0,6,25.0,0,1,3,3.92,0,○,0.0,,0,0,4,18,85.45,A2,3,追,4,0,山本 貴章  岡　山/46/76
0,3,16.6,3,33.3,0,0,4,3.93,1,注,0.0,,2,0,5,12,81.05,A2,4,追,5,0,吉川 裕二  大　分/39/86
0,3,14.2,3,28.5,2,2,5,3.92,2,▲,0.0,,0,1,6,15,80.47,A2,4,追,6,0,松丸 裕紀  福　岡/40/86
4,5,42.8,4,61.9,12,1,0,3.93,0,◎,19.0,,0,3,1,8,89.28,A1,2,逃,1,6,板崎 佑矢  愛　媛/32/101
5,2,38.8,4,61.1,0,1,1,3.92,1,×,27.7,,6,0,2,7,87.88,A2,3,追,2,0,川島 勝  長　崎/38/89
1,3,30.7,2,46.1,0,1,2,3.93,1,○,7.6,,3,0,3,7,85.58,A1,3,追,3,0,田村 浩章  徳　島/44/82
1,1,9.5,8,47.6,8,0,3,3.92,0,△,4.7,,0,1,4,11,83.71,A1,4,逃,4,1,桜井 雄太  愛　知/29/100
1,2,16.6,3,33.3,0,0,4,3.93,1,注,5.5,,2,0,5,12,82.5,A2,4,追,5,0,外山 三平  愛　知/42/88
3,3,28.5,0,28.5,3,1,5,3.92,1,▲,14.2,,0,1,6,15,80.61,A2,4,両,6,4,中野 真吾  佐　賀/34/111
0,2,13.3,2,26.6,0,0,6,3.92,1,,0.0,,1,0,6,11,79.93,A2,5,追,7,0,寺崎 祐樹  熊　本/33/97
2,6,38.0,4,57.1,0,2,0,3.92,3,○,9.5,,5,0,1,9,87.28,A1,3,追,1,0,藤井 孝則  兵　庫/42/82
4,2,33.3,3,50.0,0,7,1,3.85,1,×,22.2,,4,1,2,9,89.77,A1,2,追,2,0,須賀 和彦  茨　城/36/89
0,1,16.6,2,50.0,0,0,2,3.85,0,△,0.0,,1,0,3,3,83.5,A1,4,追,3,0,渡邉 藤男  栃　木/54/57
1,1,9.5,4,28.5,0,0,3,3.93,1,注,4.7,,1,0,4,15,80.85,A2,4,追,4,0,大井 啓世  奈　良/55/58
3,4,33.3,4,52.3,10,2,4,3.92,0,◎,14.2,,4,1,5,10,85.09,A2,3,逃,5,2,山本 隼人  大　阪/23/111
1,3,19.0,1,23.8,4,15,5,3.92,1,▲,4.7,,2,0,6,16,80.33,A2,4,両,6,1,伊藤 之人  東　京/38/90
2,4,31.5,3,47.3,0,3,0,3.92,2,○,10.5,,4,0,1,10,89.27,A1,2,追,1,0,仲松 勝太  沖　縄/43/96
11,1,66.6,1,72.2,3,0,1,3.92,1,◎,61.1,,2,9,2,5,88.16,A2,3,逃,2,0,谷元 奎心  鹿児島/20/117
8,2,41.6,5,62.5,15,0,2,3.92,0,×,33.3,,0,3,3,9,86.91,A1,3,逃,3,7,江端 隆司  福　井/28/103
1,4,23.8,6,52.3,0,3,3,3.92,3,△,4.7,,2,0,4,10,85.09,A2,3,追,4,0,竹内 一暢  滋　賀/43/84
5,2,29.1,3,41.6,0,6,4,3.92,1,注,20.8,,5,1,5,14,83.91,A1,4,両,5,0,市本 隆司  広　島/49/72
1,5,30.0,2,40.0,0,0,5,3.93,4,,5.0,,0,2,6,12,83.65,A2,4,両,6,0,中山 敬太郎  熊　本/31/100
1,2,12.5,4,29.1,11,1,6,3.93,0,▲,4.1,,0,2,6,17,81.2,A1,4,逃,7,1,友永 龍介  山　口/30/101
5,4,37.5,6,62.5,11,6,0,3.92,1,◎,20.8,,3,2,1,9,91.91,A1,2,逃,1,3,今野 大輔  愛　媛/27/111
3,2,33.3,5,66.6,0,0,1,3.92,2,○,20.0,,3,0,2,5,89.86,A1,2,追,2,0,梶應 弘樹  愛　媛/55/57
0,2,9.5,5,33.3,0,0,2,3.92,1,注,0.0,,1,0,3,14,85.14,A2,3,追,3,0,荒木 真慈  熊　本/49/69
2,3,27.7,2,38.8,5,8,3,3.85,0,×,11.1,,1,1,4,11,82.77,A2,4,逃,4,3,田中 大我  奈　良/22/115
4,0,19.0,4,38.0,3,0,4,3.92,0,△,19.0,,1,2,5,13,82.19,A2,4,両,5,1,善利 裕生  滋　賀/43/82
1,3,16.6,1,20.8,0,0,5,3.92,2,▲,4.1,,0,2,6,19,81.12,A2,4,両,6,0,西 徹  石　川/43/79
0,0,0.0,1,4.7,0,1,6,3.92,0,,0.0,,0,0,6,20,79.8,A2,5,追,7,0,瓦田 勝也  福　岡/47/77
7,1,57.1,3,78.5,8,2,0,3.92,0,◎,50.0,,0,4,1,3,91.76,A2,2,逃,1,4,立部 楓真  佐　賀/22/115
4,4,44.4,4,66.6,0,2,1,3.92,4,○,22.2,,3,1,2,6,90.55,A1,2,両,2,0,城戸崎 隆史  福　岡/48/76
3,3,33.3,2,44.4,0,3,2,3.92,3,×,16.6,,3,0,3,10,87.88,A1,3,両,3,0,田中 洋輔  宮　崎/41/84
3,1,28.5,1,35.7,0,0,3,3.92,0,△,21.4,,4,0,4,9,84.92,A2,4,追,4,0,船曳 義之  香　川/44/83
2,2,17.3,5,39.1,0,1,4,3.92,2,注,8.6,,2,0,5,14,84.65,A2,4,追,5,0,井山 和裕  山　口/42/84
2,4,28.5,4,47.6,6,0,5,3.92,0,▲,9.5,,0,5,6,11,82.66,A2,4,逃,6,1,中尾 翔  岡　山/29/107
2,1,15.7,2,26.3,2,3,6,3.92,1,,10.5,,1,1,6,14,79.31,A2,5,逃,7,0,宮崎 康司  香　川/32/94
7,3,55.5,2,66.6,0,1,0,3.92,2,×,38.8,,8,0,1,6,94.16,A1,2,追,1,0,峰重 祐之介  岡　山/31/100
4,7,52.3,2,61.9,0,3,1,3.92,5,△,19.0,,6,0,2,8,93.66,A1,2,追,2,0,近藤 修康  岡　山/49/67
1,2,60.0,0,60.0,0,1,2,3.92,1,注,20.0,,2,0,3,2,92.5,A1,2,両,3,0,名川 豊  福　岡/30/99
6,5,52.3,2,61.9,2,0,3,3.92,3,◎,28.5,,3,3,4,8,92.47,A1,2,両,4,2,太田 剛司  愛　知/40/97
2,2,30.7,4,61.5,0,1,4,3.92,2,,15.3,,2,0,5,5,92.33,A1,2,追,5,0,高木 和仁  福　岡/46/76
5,2,38.8,4,61.1,6,4,5,3.92,0,○,27.7,,1,5,6,7,92.05,A1,2,逃,6,1,吉田 篤史  奈　良/32/109
5,0,50.0,0,50.0,6,2,6,3.92,0,▲,50.0,,2,2,6,5,92.0,A1,2,逃,7,1,曽我 圭佑  熊　本/26/113
0,3,20.0,2,33.3,0,1,0,3.92,2,○,0.0,,1,0,1,10,84.38,A1,4,追,1,0,宗景 祐樹  栃　木/45/84
1,1,8.3,3,20.8,0,0,1,3.86,1,△,4.1,,1,0,2,19,80.87,A2,4,追,2,0,児玉 利文  岐　阜/46/76
7,3,43.4,5,65.2,0,3,2,3.92,2,×,30.4,,6,2,3,8,90.04,A1,2,追,3,0,星野 辰也  栃　木/35/95
2,4,40.0,3,60.0,12,5,3,3.92,0,◎,13.3,,0,1,4,6,85.86,A2,3,逃,4,5,寺沼 伊織  東　京/23/115
0,0,0.0,3,14.2,0,0,4,3.92,0,▲,0.0,,0,0,5,18,79.66,A2,5,追,5,0,永原 徹  富　山/42/87
1,3,19.0,1,23.8,3,0,5,3.92,0,注,4.7,,1,0,6,16,79.61,A2,5,逃,6,3,川西 貴之  岐　阜/34/99
1,2,15.7,2,26.3,0,0,0,3.85,1,注,5.2,,2,0,1,14,81.31,A2,4,追,1,0,阿部 博之  東　京/44/82
4,3,38.8,2,50.0,2,4,1,3.92,1,◎,22.2,,5,1,2,9,89.44,A1,2,両,2,0,田中 孝彦  静　岡/34/91
2,2,16.6,2,25.0,2,1,2,3.92,1,△,8.3,,2,0,3,18,81.62,A2,4,両,3,1,山村 慮太  大　阪/34/97
4,6,47.6,0,47.6,5,1,3,3.86,0,×,19.0,,2,4,4,11,85.57,A2,3,逃,4,4,舘 真成  茨　城/33/98
1,2,20.0,5,53.3,0,0,4,3.92,2,○,6.6,,1,0,5,7,86.86,A1,3,追,5,0,松永 晃典  静　岡/46/76
0,0,0.0,0,0.0,0,1,5,3.85,0,,0.0,,0,0,6,9,79.66,A1,5,両,6,0,三上 佳孝  千　葉/38/88
1,0,12.5,1,25.0,4,0,6,3.92,0,▲,12.5,,0,0,6,6,81.16,A1,4,逃,7,1,大城 慶之  大　阪/36/113
2,5,43.7,0,43.7,4,2,0,3.92,0,○,12.5,,3,2,1,9,88.0,A1,3,両,1,2,猪俣 康一  愛　知/44/99
1,2,15.0,4,35.0,0,2,1,3.92,2,▲,5.0,,1,0,2,13,81.68,A2,4,両,2,0,稲葉 一真  静　岡/31/100
0,4,22.2,3,38.8,0,1,2,3.92,2,注,0.0,,2,0,3,11,81.77,A2,4,追,3,0,浦崎 貴史  北海道/49/75
1,3,19.0,2,28.5,0,1,3,3.92,2,×,4.7,,2,0,4,15,82.95,A1,4,追,4,0,中島 義之  京　都/50/68
2,3,23.8,3,38.0,2,3,4,3.92,0,△,9.5,,3,0,5,13,83.38,A2,4,両,5,2,玉木 英典  福　島/35/95
1,0,5.0,2,15.0,0,0,5,3.92,0,,5.0,,1,0,6,17,80.75,A2,4,追,6,0,佐藤 有輝  神奈川/42/85
3,6,42.8,4,61.9,0,1,6,3.92,3,◎,14.2,,4,2,6,8,89.38,A1,2,追,7,0,上田 隼  岐　阜/31/97
0,1,5.5,4,27.7,0,5,0,3.92,1,▲,0.0,,0,0,1,13,81.52,A2,4,追,1,0,北村 匡章  静　岡/47/71
4,3,31.8,2,40.9,16,0,1,3.85,0,◎,18.1,,0,1,2,13,87.95,A1,3,逃,2,6,尾崎 悠生  埼　玉/23/113
0,4,22.2,5,50.0,2,4,2,3.92,3,注,0.0,,0,0,3,9,85.16,A2,3,両,3,1,肥後 公允  奈　良/36/91
1,1,9.0,5,31.8,0,0,3,3.92,0,○,4.5,,2,0,4,15,83.77,A1,4,追,4,0,深井 高志  東　京/52/63
1,6,29.1,7,58.3,0,1,4,3.92,5,×,4.1,,2,0,5,10,87.16,A1,3,追,5,0,川木 敬大  兵　庫/42/84
1,1,11.1,3,27.7,5,1,5,3.92,1,,5.5,,0,0,6,13,79.94,A2,5,両,6,1,山田 慎一郎  神奈川/41/89
1,6,25.0,6,46.4,0,2,6,3.92,3,△,3.5,,4,0,6,15,84.21,A2,4,追,7,0,黒崎 直行  栃　木/54/57
